Column_01,Column_02,Column_03,Column_04,Column_05,Column_06,Column_07,Column_08,Column_09,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
-18671,41279.6131,3393,-25424.1818,46206,29029.2989,-26747,78873.5875,61195,-58749.9447,-327,-71687.9434,-93360,19952.0528,-68734,-97677.3178,-7542,-35276.3790,68415,11192.5040
-76713.6641,-77602,29283.9191,-79065,32922.4842,-18703,-44232.5165,58601,-49659.4219,40298,-18128.2039,91865,35683.9487,87318,59459.6549,-90190,49183.4808,49746,20470.4440,3652
-14729,-56769.0952,-20339,-6686.6324,-11921,-35429.5862,78177,-96534.6361,20103,-52367.8417,83914,-50427.5921,32112,35816.8195,19544,17993.3381,51459,-78641.0429,71716,42499.2487
39309.3189,59697,-41907.4395,-52158,-58165.3279,-84151,62475.8730,53647,33592.7817,20262,-33507.5352,-97544,92192.7266,-22683,-34970.6233,-80833,-3288.3942,56097,-95291.6860,32734
11156,51065.7020,72533,88345.4445,82967,50806.1197,84476,65400.4866,-71346,32519.0163,61298,-79606.2807,19738,12716.6908,48237,52787.0079,-2243,61148.0501,-33017,-35194.1532
47756.6860,-92473,32194.2003,25398,-52451.6980,-48081,14812.2198,2705,-65666.3026,67528,18383.5659,-87800,-18193.3520,-97502,-63636.2337,7899,-41301.8181,23783,-14519.0065,55080
-11858,-29109.7151,94531,68795.8356,-22241,-90545.8971,-38629,11681.0194,54646,54996.3683,40373,61471.5360,31131,71307.3538,-47908,-50407.4122,-64516,54663.2799,24784,16057.8180
47426.2741,39382,25322.5519,-38138,-48794.0438,60449,31367.7471,-49958,-96295.6408,-96142,93518.1031,48641,64914.1255,72807,84471.2236,81676,-3629.2034,41075,-9929.7418,92422
-13185,-94800.6737,10458,95597.0544,-66634,62854.5285,-99158,25301.1232,-24070,-91821.0836,31970,-54708.5686,69102,66901.3359,14084,55608.5338,13446,87595.9936,-32850,-67281.1413
-70032.1832,-74696,27728.8024,-75925,78752.6366,47490,-62959.4479,61515,35324.7096,-57035,8654.0418,-80344,2217.8636,52260,-7291.6464,-91623,17987.7540,-96040,54852.7786,86320
-70520,-89853.1804,-27906,26176.6094,22149,-25879.5615,-49904,-15998.7644,20851,-97250.5951,-74529,17566.3378,79854,-12933.0218,83088,18876.2533,66192,-80671.6385,30232,78144.6797
22346.0441,23443,97222.9711,68749,36355.1234,4209,-69022.4919,4348,-7620.6066,34416,-82406.3109,27177,42140.8155,45284,79833.0877,-61960,65735.3079,-33323,55744.6823,-18531
9528,63846.8573,-26742,-37254.7421,99485,76427.9406,-94400,57373.4174,40679,-92112.0727,80038,-60728.5952,-33771,-43446.8768,66247,-5051.0405,-74009,87083.2728,1888,-19938.0659
-21680.1574,6619,89242.8509,-38219,-29541.4157,-97137,-4176.4177,-4751,-99673.0630,43778,-16794.9152,6879,19414.1469,-13164,-23493.1736,-15570,70959.9493,77539,-48532.9443,-5199
98073,-7721.9348,50193,9026.6535,85469,41378.7398,25736,96545.3096,93185,86119.3884,-64777,97867.4539,-96927,-42159.7671,94019,-24723.8632,59024,-35615.9844,86028,-60296.3671
46217.8670,-60807,-14281.8076,36631,-99081.8181,-34720,-64885.9444,-66460,82850.8493,-35855,44512.1947,-1117,3576.0288,-99217,98594.2029,-86838,-73871.9983,-92676,92045.6891,77144
-25897,-37101.8173,-34842,67372.3355,76896,59264.9997,-35783,41530.3467,-57470,26936.7525,84145,67148.1473,91213,69599.4773,56603,762.8508,30652,96422.9191,92570,19942.1354
43602.4164,-21514,-56433.4844,92028,-84227.6498,-79496,-30418.3278,54615,-9771.0472,-65384,55489.2551,60716,-64141.7829,86717,91067.8633,90459,90278.5544,-52944,29799.0585,-37306
-63883,14828.0049,-69229,79032.8372,-12532,-43565.0707,76279,-89239.8701,47100,85896.1389,-35602,97610.8001,66209,87897.4540,-21658,31048.7833,36250,-91650.9837,-84331,30226.0671
59448.0154,41944,-87435.9294,10947,38588.2963,-78606,-72422.2379,16322,40461.7474,56240,-63990.9511,98535,-60291.3778,94728,73159.9623,83206,86974.2269,-7324,-61427.0765,79518
82104,-98298.9756,-51775,-20770.9202,-57394,51237.0413,-40640,-21937.7483,-22261,-89525.1295,-18716,96961.6032,91815,90295.9971,-52115,90198.9800,10223,47967.7396,8236,48995.3508
-47403.2266,96372,46631.4733,-10058,25672.5429,86302,-52790.1127,94658,24051.4759,28030,-95238.0061,-82662,-70622.5630,17321,-25681.9965,-43409,24060.3333,-51902,22287.1001,30449
343,38983.1847,-63178,5604.2170,-3280,-82016.8299,-47333,9326.3930,-19783,-71579.0531,-87588,64332.1979,3865,-80540.3943,-41059,94895.1084,73753,-44613.8773,4959,-99491.5978
53098.3435,62080,-80976.5256,81192,-58237.9841,10713,79195.9415,24691,-66963.1926,-10126,-59529.5090,-32434,-55767.1678,76123,14836.7928,-5943,93038.8977,-49969,-39603.3654,68374
81548,98339.9228,69082,-2790.1416,84495,-58392.1823,88801,-50884.9885,25550,93835.3186,-56209,24869.6272,-33644,-48933.5122,90041,24381.9564,63494,82492.1753,-81906,457.2646
91919.1221,29430,-17708.0998,-92627,65568.1085,76892,-44920.3313,33215,-55791.9901,-53274,85934.2666,-87085,-38790.8995,41233,68448.7374,-98980,-80756.8638,-42013,-46802.1634,-90917
82286,27403.3686,-90076,-35311.6915,-71738,64182.5325,1418,74506.8506,14466,31356.4386,-67203,-38386.1013,-32626,60857.2595,-85590,-77340.5442,25953,-23551.7665,-2922,-21102.5534
4168.2235,-1963,35185.8149,-9715,4862.3750,-77601,61661.5882,-86207,46430.4418,19743,43549.5554,-87260,-40921.4137,-2593,21048.9260,-94213,-85240.3396,22736,-99566.5186,-89636
-19641,69690.4574,-89616,65615.2767,-36491,-45393.7357,-66331,-95386.1665,78383,-93752.5466,84150,53747.2148,-56072,-61855.6669,42296,-74621.9332,41470,-52445.5186,-25171,95415.5162
-23433.0161,-78047,57038.2022,25288,-10057.6727,54220,-38756.6645,-5565,-71018.4034,64477,-23788.9853,-8306,30170.0971,89963,16232.3373,78316,53082.1928,-38064,89405.9045,70187
-34216,9230.1834,81255,804.7668,-45070,27854.3122,-57641,5878.0832,32715,34688.2761,96750,57231.3258,92613,55896.7105,-75233,49827.3660,-56280,70006.2150,-25591,43904.9409
18288.0498,-82739,27301.7272,-87952,-17832.2764,-64726,-28219.9673,-62153,-17741.9935,56495,-64403.0675,47537,86777.9396,-78811,37466.0468,47382,14386.2707,62429,13719.0376,22111
-1374,51687.6012,-63548,-84656.5632,79959,14317.9376,-96612,-91330.0325,32422,-97015.9866,-22627,33370.0625,78975,-42598.3523,30401,93854.4203,83508,-58853.8301,54883,-9358.0559
-4697.1537,33545,-75401.0401,42037,14367.5620,-80308,-38913.5674,40078,-19463.9455,236,27762.2273,-11355,54071.6393,-72494,77842.4509,-23077,-95718.0158,-41735,-58918.2010,98841
-18479,6357.2090,-53796,11589.7866,35225,37052.4063,-93887,-33226.3589,24720,-38051.8809,-29601,-56021.6774,76119,68935.7171,36438,65829.4826,26233,-62020.0287,-7447,12635.8485
41146.7354,26300,-69040.3160,28484,-11439.9636,-32290,24676.8821,80259,-7150.8297,60249,-53421.6601,61214,7535.8565,75782,-91019.6756,92282,-62011.1550,-4867,75099.3648,85908
-74706,-16508.4383,84755,-40838.9318,-94625,53804.7688,83355,-16719.1565,-77791,80950.7015,-24115,35758.7685,-70415,81238.2108,18249,-59677.8262,-8594,63717.6972,-12039,700.0817
53811.4075,35669,65717.1028,62826,-22867.3956,24429,65332.8592,69979,-34799.4595,-9753,56188.7922,-1568,58794.9473,86288,-29364.8292,75354,-53499.4933,-63953,-92937.2179,-11293
-23439,58406.4312,-57379,-1966.4309,83078,-993.3014,93385,-71484.3369,-11718,41257.6888,-95004,77014.0810,51070,-25445.8588,-51306,41818.2580,72863,-45284.6292,-28745,-53919.1586
-95628.6462,23674,98548.7927,20344,17021.9162,-72597,57603.9192,-4176,51040.1071,831,43741.3664,-63644,291.1334,87855,64120.5323,78165,-47914.5349,13405,47860.7696,82809
2598,29756.3230,5769,-83490.5126,-80236,-98357.0497,13824,-31391.4545,-99281,94310.3544,45156,-24676.2146,-92726,-94208.9559,-71646,76474.6115,-18714,9884.9155,-22626,-92581.0369
-19125.4383,-45104,-58635.5208,-57052,57506.3230,15038,81010.9143,-26327,-14188.1643,48376,37212.9500,90848,-93320.6918,-27646,-72104.2981,-59439,-31094.3942,-97623,64107.8905,39264
10139,19357.6481,-92107,-93136.5780,-96365,96869.8424,8405,-83986.4429,26171,63083.2569,16178,-4750.0396,-15848,58385.0804,-65194,-50969.1970,-61091,78413.4139,24983,5615.5843
45143.5351,-68833,46621.3157,-66861,94556.6599,-54543,-73414.0321,33581,44869.2949,-75881,-5910.2976,-18084,91407.5009,48048,-85618.9710,-51102,60613.2424,-78361,-40854.6283,77059
91245,-59539.5403,39427,-79419.7258,-59876,18408.2184,-38527,-35672.4366,-34954,-1728.5920,-56401,33456.1664,-74426,82575.5346,99371,-85390.2350,94622,95476.4004,50371,-24986.3064
-93405.2151,-14501,91149.9995,-22049,53829.1455,-60714,75671.3456,-41229,83594.8459,-68513,8177.9537,-52432,-35069.5653,72761,-47741.6220,-12933,-97349.0273,6802,5260.2062,-87189
-85732,76688.1188,43957,-96430.8508,-50053,54726.2492,-23022,-46654.4900,47691,17927.2502,6297,-21171.3074,-69136,73795.0585,-6563,78944.4741,93584,9951.4565,-3335,54637.5377
45672.2938,18415,-45179.8006,38091,-59070.5510,-61028,-62059.8795,-87074,-76176.9272,-53769,-69688.7880,-23191,-6138.4870,-18336,-88840.7909,4107,53558.6517,59490,55582.4215,-92721
-22893,78960.4842,26152,51469.3246,-36536,88120.4961,-37792,-42323.2809,-45467,47247.3089,26139,-53547.9060,-22194,17155.3370,83794,-97786.5950,-74568,-54642.5822,62114,37697.6653
12810.9988,-28801,-80747.1175,94480,27375.9724,30090,-97222.6867,95112,54547.3178,-16295,-52850.7208,-7089,-27026.8938,-61065,-30996.4145,20672,-87531.4102,-37818,47505.0166,-55304
94091,86326.4018,49638,93141.4611,45625,-41637.5776,-91478,-86651.5618,-78229,-51073.4484,-37317,83352.7283,14981,47264.5074,42295,-36908.5537,92391,96774.6228,49279,32220.4385
-96500.4670,98019,88736.3096,62460,24396.0025,-4466,-44764.6470,-19005,40709.1244,-9287,88307.0233,94981,-73332.4099,29170,47213.7220,-69726,17566.5627,34923,84603.5394,-84525
-42517,-27528.9535,78000,-2903.4788,95934,23155.0035,23613,80083.8893,-72976,-93790.8961,95843,69664.9900,-11238,-20597.7167,94766,8077.2310,-92056,-25800.0320,31387,69337.3548
-73302.1759,-14235,19300.9048,10532,88972.3584,-93121,7163.1572,-77158,-92306.9701,64933,38652.4361,-30702,87674.8376,-58554,-61380.3510,80584,-28799.8811,-21197,99037.8263,3632
1654,-76459.9424,69319,34147.8512,-88926,62815.8766,-41087,38563.9651,56181,429.6785,9136,5427.4533,71784,-5026.9674,-6719,30286.7551,-74036,-15723.6701,-52992,3876.0499
-38296.5200,21790,-37845.9765,14481,30740.9505,30092,21343.3250,-61879,-97029.6988,48481,-21049.1035,80057,-78325.4056,-7839,-2875.3534,-16737,-76392.1497,7646,-83210.6717,79165
147,66568.8160,42554,-2249.2767,19274,93356.2358,18003,91562.0653,61519,89745.8789,70002,47487.8840,-24180,67220.4893,88964,25705.0485,-44126,46146.8029,18171,-78392.0900
-99517.4551,32096,73390.3924,6449,21842.8249,-6933,29617.2591,64488,-25343.0776,-95491,-84429.6441,-92538,-83533.9756,-46786,-83379.8564,-24236,62724.4827,-87269,29143.1304,-80786
93646,63027.9594,-33848,60177.6739,14466,55714.4103,-47485,18809.9538,84844,39084.5447,-45152,-5039.4187,18838,16094.5091,-24290,80374.3724,32505,-8412.2650,42103,5472.1221
58720.7316,88192,64382.1518,-90861,-55091.6501,-15055,95750.2909,2411,53374.2412,57237,-254.9753,71011,-45408.0918,-19909,-1121.3332,21801,-98755.8943,37678,-41068.1547,90441
-23035,49390.6689,79246,-53566.0389,-26921,80278.5055,34754,35619.5905,-66029,-58058.4091,46687,-67243.3226,2288,92300.3171,-29066,25718.3883,-70186,24491.1774,-1443,-59197.0385
39911.2769,-44688,99204.6982,-99087,-45154.6892,41585,30219.8724,73243,-70109.4181,40257,-48412.6533,-22570,87237.1580,34740,-35499.6589,-4736,21492.4681,-7636,53901.9567,-57867
60966,-79278.7925,5168,-34101.9561,94027,62622.1522,81747,72550.2162,-74345,49204.2629,51351,-67465.5933,13818,-82055.0672,-67642,-54529.7971,89778,-79912.0278,75421,-91295.4941
33211.5872,65452,-62929.9865,79597,7978.9209,12869,-55951.1158,-55994,-48202.2318,-39029,27499.5854,11975,-90664.2762,38546,-42303.5043,-82036,27146.3066,-23142,-80719.3607,-47436
88269,-82424.5352,-81465,-37537.4480,590,-96039.6815,-74069,-80354.6594,17178,93173.5152,-90419,-13444.6386,-82189,-97084.4000,-45436,-87950.5800,22537,39135.6259,-25222,-66242.1745
-2959.5973,37540,-16003.3280,-70579,12291.5706,-17463,37228.6026,-239,-11826.2056,34606,6640.4135,24462,90107.0980,-58310,84693.9767,15190,-50512.9165,-9956,11448.1544,652
69458,-11301.1026,78358,40892.9266,17152,-66051.3527,-5890,-76748.4867,-50153,48208.9730,-49344,-11962.7267,-35934,2105.5317,52999,24230.4902,40235,38114.4784,-36543,2708.1100
-28571.7738,-59741,8765.6100,28269,-22044.2435,-9362,1202.8044,-76349,-60699.8093,15351,68750.1365,-3199,6955.6701,-66274,82736.8430,-51541,-26240.7519,-62296,-36371.5674,-72139
-98148,-99323.6955,17499,-77479.6952,-11595,20937.3354,48695,-87825.7249,-93154,-50474.6917,-52895,-53823.8546,-47713,26309.4196,84514,-32762.0737,-54172,63324.4693,86126,86850.4830
-53321.4636,66948,-2120.1700,-8899,-5804.0234,54404,43255.1084,60191,55540.5660,35994,-93167.9767,17298,6647.5865,88111,36706.9846,-54622,33359.4660,-84653,52389.0813,-52839
27838,92811.2107,46194,63686.4465,48131,-66257.1625,13751,90250.0971,-22221,39549.2420,2032,88167.0449,8240,-7397.7623,-92374,-88899.2210,22219,-35886.0175,92493,52734.7505
57442.9838,-37966,-71038.7148,-91411,-88215.9348,30375,-16281.7724,-27995,-2414.6753,-10966,-58291.3922,74436,77396.8987,-45981,47501.0427,92169,1376.4582,52509,-67015.6767,-44737
93181,55606.5341,97947,-79187.3398,98391,52071.1534,17494,81581.4314,-88951,-19202.5668,84055,78200.9186,13986,49605.8781,12514,47587.1557,21114,1615.7105,-24148,10519.4634
-5507.0814,-20100,45626.9029,-88147,-28497.7990,29943,39147.0504,-24192,-80211.3525,-23879,16757.2563,-96349,-505.1775,-94799,2833.3705,-55294,13168.1449,-71774,62354.6539,97685
40036,-65006.0643,53410,10769.2337,-62694,77261.3039,65119,38921.0108,11011,38875.5090,2334,-75383.6818,-22237,-49072.6501,-1963,38033.2091,93859,92895.6853,72962,-30732.7541
80509.1006,74711,3476.5825,-88045,33142.6593,-35624,-34735.8158,-28,-41637.9645,56877,-22061.3645,-15668,33403.8841,-83168,-62644.2656,-70197,-24690.1879,-49944,33299.1854,-29248
-71881,-91636.8853,17397,44807.6360,62803,41998.3266,-80340,41291.7069,-52178,96949.9250,-8747,-37263.8582,-19064,1790.1466,-31676,23914.0232,20906,-86151.4346,11086,-85849.4805
90663.1231,-38307,-69296.0687,4893,43612.3766,-89115,69264.9798,-50712,91609.2181,40835,73049.9223,34214,88777.5581,11612,-13012.5476,50608,-95995.8228,94934,79863.2490,-3994
2533,-62946.1772,33135,30727.6135,29532,39882.5154,-18041,-45248.8032,77929,-62764.4060,68155,39972.2013,-79470,-67392.8549,64265,-58627.8974,-92184,83112.1414,98233,-48567.8861
35641.9258,518,-49919.8568,-24765,-71582.4006,84171,-71203.5105,-23539,6419.7100,-20966,-14400.5745,65143,82445.4082,917,-59935.5989,53194,-61766.0293,-54632,-73929.5662,50103
22671,-64286.2500,89572,-50773.1707,79831,-37899.1369,87672,-18309.8796,-24852,76549.9462,16406,-17390.3449,38193,-64520.7688,-69767,-41908.5419,15839,-97448.1480,91367,41716.2437
-63662.6721,-38086,96726.9842,-99709,9784.0319,16869,96139.4248,-36500,-82595.0901,-274,-18833.7559,-16163,-49824.0417,-19555,75339.1943,95659,-56089.1507,-41542,30079.3132,-19234
98864,-52136.5486,55033,-16379.0253,96656,-3993.9900,23920,91361.4219,-40901,-13046.6506,-16567,-74417.7449,78920,-94021.7262,-36288,-48146.5088,-32806,92103.0825,4175,-47703.9075
34191.9585,-1153,-19056.2199,26145,-94719.3153,-97170,-52238.1909,67531,52762.9188,-36904,46844.5971,12312,86033.9483,-84534,-76619.5574,-65197,10107.2555,-30746,-37617.9515,73468
56122,8490.4505,26901,-8406.5370,81525,-65086.4431,45245,-78671.3040,58787,-15836.8719,53940,-7628.7867,-45042,88357.8686,-71864,12638.6203,34863,92276.7532,-75786,93109.6380
71309.0349,-81000,41956.1279,75831,-48694.0982,-91869,43752.9894,25216,-31222.8666,6424,-27864.3166,-40511,34645.6089,-80550,-14281.3411,-93842,-47822.1268,-63320,95425.6564,-48035
-8242,43965.5291,-7534,80931.1707,-10319,60744.8668,-61739,51659.4909,73865,-31378.6900,40334,84170.3924,-28954,-95301.0498,-89090,40512.4279,27812,90868.7505,-12426,-50124.7300
72986.1415,37391,96949.3042,-86755,-32334.3429,72744,-37723.6554,-55632,-62142.6871,61851,20701.9018,90351,-30874.1755,-98175,-1670.8188,-26204,34096.9774,-13932,-97508.1791,38764
-25199,61770.0696,12743,-16751.0268,-15237,28848.2874,-28877,-27821.9249,84852,-82267.3393,-30221,-30662.4877,-84696,-22653.7968,-91875,-83621.6030,-10070,-56402.8122,-33557,-83076.1651
51231.3749,-58792,-95293.7056,94888,-6424.3430,61563,37215.7074,78817,-6468.9145,88694,-88884.8808,-5067,57749.9195,67224,78178.6505,9516,15989.3650,-63527,-99105.1274,76091
2903,-89005.7743,-51199,12136.1461,-52183,-20363.3774,-52737,93844.3167,85687,-51175.2523,55537,26589.5460,88831,-92880.7529,97254,23205.6678,-24497,20414.5047,86029,-61775.9794
-45831.1886,-90135,-24719.5967,-89461,-88755.6109,27262,-16127.9067,16815,-2666.7088,-37322,65236.5562,87239,-45941.2988,89786,-74772.3884,-39183,78444.1531,74925,72247.9395,21961
-84233,99970.0041,-24924,-92662.3908,39024,11380.5161,-79442,-38531.1742,-88852,45188.5982,76380,4856.4841,-66474,-99951.3447,-78285,-42824.2399,-34829,70376.4516,-44061,-50851.2493
-52616.1107,-72243,93404.5666,-62207,-13325.0715,-9924,-44719.1938,-41454,-19816.3233,-4976,-4609.5041,-60529,-37751.4651,79746,63113.2943,95939,-53325.2456,-11898,64968.1718,-43720
2654,74447.7959,7899,90022.0695,-42773,-35835.1763,-58019,-34328.2610,9946,-84661.4036,68902,-42192.0976,-83570,86161.7018,-17641,-52597.4726,70709,18826.8003,67138,93542.9899
64102.6928,63249,-82209.5911,-41009,-45877.6806,-75424,-60807.6914,76921,74123.6560,-35989,-36954.3225,90427,76334.8920,22614,-87680.9006,-46445,72559.1281,-71281,47682.8583,-24822
-85229,-85555.1699,48422,-22013.9996,-77499,-7214.9655,-21816,53061.6172,-75827,91634.8313,-60850,-90623.2930,65514,98691.4134,-8803,63093.8690,67163,-26175.2294,-58979,47026.2479
38201.7708,67901,-37472.5098,-66213,-93713.1849,-90588,-68917.2437,-33790,30515.0732,22678,80811.4200,-75774,-94937.1364,91274,-10741.3614,-46224,17013.8254,-78034,-74855.3632,-51952
-76060,-75241.2873,-47597,-92527.4749,93853,-27542.7520,-6027,37645.6184,-32307,-89073.7206,-39316,-25319.3799,81265,-59641.7785,-8909,-6660.3789,-49985,-41073.4954,-90144,-87098.2122
51003.3437,-38345,-29000.4663,-94183,-79866.7872,-64677,33107.0950,22361,68385.0874,-52194,22989.3509,22523,87487.9791,21377,46178.6218,12530,-58992.8350,-51484,78176.6317,65295
51911,15326.1056,-56223,57572.5537,34153,43081.9019,-11804,78648.4317,79609,85098.9621,65250,81482.7495,70919,-14097.4191,22453,30510.5806,54134,-415.3506,-78435,-5090.4976
-32534.3936,-54398,-92404.7804,-43525,94437.1044,69836,-42283.8154,-85507,-6729.6154,-25942,-30375.0969,1265,64611.6603,4947,13425.1550,-94827,42751.5452,-59578,29805.8763,-55709
-30700,-73509.6175,89564,-50217.9527,-8967,-55541.4645,19828,-76605.4050,87676,41737.5780,22267,80678.0609,20982,15992.0348,98632,35943.9969,19033,2861.2239,-3960,25920.8292
-28230.7201,27363,-87611.7584,-63832,-50908.6899,91348,-74408.3801,-95625,-76356.4266,-73859,19858.0697,82397,56657.5372,-11301,-69032.1260,62538,-29112.9931,-94746,-46982.9751,39647
84546,-20221.1779,-55824,-45219.3391,-2824,9454.3103,-29672,71208.5247,-14914,-75963.5460,-23789,87927.2036,-96044,-94231.7638,95079,-6508.3059,19377,-38295.0497,-71109,95255.2114
-83685.2601,4806,-63122.2513,-56934,-49846.1033,-87719,-8293.5347,66141,-99837.6476,59454,8149.8484,-13094,32021.8953,22677,37435.6369,93677,4789.5440,-76273,-47041.3718,-17585
23061,70132.9831,12839,45269.0459,-2753,60031.1451,-54203,-7367.0266,96516,-56799.3143,45584,-73337.6144,58791,12995.7963,52169,94686.6136,-12744,97969.6634,-68205,-4499.7729
-22913.6732,-26401,11519.0862,79276,-44961.6964,35772,-41576.2110,43022,95666.1053,36331,-36150.4780,17727,-55906.6796,68683,55348.7980,-31759,36548.6292,16396,32395.8978,35857
-21946,-72292.4395,-46687,63168.9270,69866,-16312.9489,68638,-85421.4718,20562,58233.6825,-4939,76419.4256,-1229,189.2600,1153,-31326.8860,98225,74267.3671,-26267,-10290.4547
-47670.0434,-34774,-59804.8825,-55276,59029.7091,80088,-4503.7289,80225,-58479.5297,-16876,-82888.6717,85531,20318.4233,-63950,11649.0167,-22032,65090.7301,95740,33017.9316,-43958
81339,73636.7947,-71004,-19829.9157,-24244,-800.5304,91158,81692.2236,-58963,-58884.7811,-44926,83464.3050,-91705,-30152.2866,9695,-79122.5857,99264,-82436.9826,87537,-68013.3310
27585.9553,13795,50699.2673,99310,-4643.0706,27047,80356.1524,-79658,-15384.1580,80781,-49977.9617,80604,51374.5883,54936,-68122.0497,69893,-19244.4435,-43847,-77977.6699,-99015
-77256,77464.1246,8474,63283.5156,-48637,-55686.5915,-45831,-99113.4192,89649,73107.9856,58284,-59411.4024,-10857,14893.8331,-62223,50849.2000,38171,33788.5511,-32605,-71478.0752
-74954.4884,53432,76950.4708,-6998,-78597.3788,4064,-5396.1709,-28984,89428.1187,-23635,7522.2242,-20914,-93704.5270,-40191,-61208.8417,-82400,19323.5324,-79247,-92320.9312,50448
23668,33803.7657,-73558,76041.8326,90754,-98321.7409,-77518,25338.9685,42405,64927.8125,-24381,88677.7677,53624,10062.2030,4214,52094.6506,-17466,-1533.0523,-75748,32281.7467
-60108.7954,50084,-83593.0396,-54543,-44039.1669,3913,86428.6349,11598,-87102.7037,-11007,-7559.1870,14874,-9003.0640,-43088,-4921.9984,-49895,55613.1947,48340,-45630.1977,-92334
-44003,-92642.8844,-24411,-18123.7443,-25402,-44879.1285,-84273,-82603.2965,95644,3691.5909,64328,-8541.4211,-65331,14881.7472,89150,12679.4514,93314,82909.5990,6419,-80217.9609
78780.3802,-25762,20113.5433,-86240,91932.3244,-3609,-82397.4122,93270,7860.2175,-7450,46814.8143,-88706,77728.5150,71567,83871.7544,-57205,-20544.2577,95306,48855.8150,83392
-47130,-80064.7372,64304,-42898.0091,78755,8219.1831,-71358,98266.3748,-31487,791.9971,43923,35696.8253,67901,-85552.7412,-33585,-76189.3614,-56877,17454.8815,-47421,-99691.4709
79619.5164,36718,52778.1055,-81618,54101.4655,-14473,-87751.6574,-16758,-28832.4263,-62368,-40692.8410,-7761,-76083.1288,4539,70512.4674,-58874,-24682.2610,35323,-99650.5607,95130
55366,-12444.3475,91486,35427.9665,-40710,-10463.9695,-94700,53433.2551,-37424,-24708.8429,-78146,94976.7577,3055,-79819.9584,4687,5639.1417,-39366,-12769.9769,45910,42707.5918
79278.3272,-55177,-83702.3323,33994,-7848.1516,1407,44087.1024,-24630,-88564.8206,72838,10610.4233,9337,69319.8741,61678,-98754.5210,33470,-47162.0174,87672,54768.8422,-4749
65855,-16250.0748,43947,59569.1984,26145,16938.0954,87354,-93077.0317,-37616,52756.3561,-47357,42823.3785,39637,-53289.5579,-6487,79392.4200,-41443,12075.0427,-64455,48004.6751
-14143.6438,-82541,-68475.8328,-14773,-41825.4863,-93969,-52372.8652,19424,-22300.2783,75557,-9805.6503,-56715,7740.4586,98219,79865.6838,-83757,-91582.3011,-74150,-88314.1014,45024
50558,56772.1882,13942,-31090.9590,-76044,10355.7194,56765,-17713.9699,-1973,71833.0645,-77186,-51282.0799,55442,74900.3211,-1462,5217.8559,97663,-98399.5692,99313,-84333.9316
-63426.0084,-64631,35542.3844,90261,-17029.1887,46045,-2964.9459,61514,-95166.0561,67101,38423.2481,-64880,8291.4528,-15525,-63477.7810,21386,198.6114,30329,67039.1784,-32940
-93475,-90729.7957,18597,-13064.2992,16157,54583.9604,29794,7167.0460,73059,32709.2177,84220,-30415.3764,48260,72616.7456,-68064,-16392.8813,7207,87297.3715,-94316,42873.5012
-3389.0165,54996,-64563.6692,-87426,-64241.3736,-87684,-72737.8573,51069,-39901.8926,-69176,-5041.8437,-64016,4099.2073,23721,9734.1758,36314,42279.0720,-87124,-35976.5643,-35589
